Constituency,MP,Party
Antrim,Maj Gen. Hon. George Frederick Upton,Conservative
Antrim,Lt Col. Thomas Henry Pakenham,Conservative
Armagh,Joshua Walter McGeough Bond,Conservative
County Armagh,"Sir William Verner, Bt",Conservative
County Armagh,Maxwell Charles Close,Conservative
Athlone,John Ennis,Independent Opposition
Bandon,William Smyth Bernard,Conservative
Belfast,Richard Davison,Conservative
Belfast,"Sir Hugh McCalmont Cairns, QC",Conservative
Carlow,"Sir John Emerich Edward Dahlberg-Acton, bt",Liberal
County Carlow,William McClintock-Bunbury,Conservative
County Carlow,Henry Bruen,Conservative
Carrickfergus,Robert Torrens,Conservative
Cashel,John Lanigan,Liberal
Cavan,Hon. James Maxwell,Conservative
Cavan,Hon. Hugh Annesley,Conservative
Clare,Col. Crofton Moore Vandeleur,Conservative
Clare,Lt Col. Luke White,Liberal
Clonmel,John Bagwell,Liberal
Coleraine,"John Boyd, LLd",Conservative
Cork City,William Trant Fagan,Liberal
Cork City,Francis Bernard Beamish,Liberal
County Cork,Rickard Deasy,Liberal
County Cork,Vincent Scully,Liberal
Donegal,"Sir Edmund Hayes, Bt",Conservative
Donegal,Thomas Conolly,Conservative
Down,Lord Edwin Hill,Conservative
Down,William Brownlow Forde,Conservative
Downpatrick,Richard Ker,Liberal
Drogheda,James McCann,Liberal
Dublin,Edward Grogan,Conservative
Dublin,John Vance,Conservative
County Dublin,James Hans Hamilton,Conservative
County Dublin,Thomas Edward Taylor,Conservative
Dublin University,"Rt Hon James Whiteside, QC",Conservative
Dublin University,Anthony Lefroy,Conservative
Dundalk,George Bowyer,Liberal
Dungannon,Maj Hon William Stuart Knox,Independent Opposition
Dungarvan,John Francis Maguire,Independent Opposition
Ennis,"Rt Hon John David FitzGerald, QC",Liberal
Enniskillen,Hon John Lowry Cole,Conservative
Fermanagh,Mervyn Edward Archdall,Conservative
Fermanagh,Henry Cole,Conservative
Galway Borough,John Orrell Lever,Conservative
Galway Borough,Lord Dunkellin (ulick Canning de Burgh),Liberal
County Galway,"Sir Thomas Burke, 3rd Bt",Liberal
County Galway,William Henry Gregory,Liberal
Kerry,Henry Arthur Herbert,Liberal
Kerry,Valentine Augustus Browne (Viscount Castlerose),Liberal
Kildare,William Henry Ford Cogan,Liberal
Kildare,Rt Hon Richard More O'Ferrall,Liberal
Kilkenny City,Michael Sullivan,Independent Opposition
County Kilkenny,John Greene,Independent Opposition
County Kilkenny,Hon. Leopold Agar-Ellis,Liberal
King's County,Patrick O'Brien,Liberal
King's County,John Pope Hennessy,Conservative
Kinsale,Sir John Arnott,Liberal
Leitrim,William Richard Ormsby Gore,Conservative
Leitrim,John Brady,Independent Opposition
Limerick City,Francis William Russell,Liberal
Limerick City,Maj George Gavin,Liberal
County Limerick,Rt Hon William Monsell,Liberal
County Limerick,Lt Col Samuel Auchmuty Dickson,Conservative
Lisburn,Jonathan Richardson,Liberal
Londonderry,"Sir Robert Alexander Ferguson, Bt",Liberal
County Londonderry,Robert Peel Dawson,Conservative
County Londonderry,"Sir Frederick William Heygate, bt",Conservative
County Longford,Col. Fulke Soutwell  Greville-Nugent,Liberal
County Longford,Col. Henry White,Liberal
County Louth,Chichester Fortescue,Liberal
County Louth,Richard Montesquieu Bellew,Liberal
Mallow,"Robert Longfield, QC",Conservative
Mayo,Lord John Thomas Browne,Liberal
Mayo,Capt. Roger William Henry Palmer,Conservative
Meath,Matthew Corbally,Independent Opposition
Meath,Edward McEvoy,Independent Opposition
Monaghan,Charles Powell Leslie,Conservative
Monaghan,"Sir George Forster, bt",Conservative
New Ross,Charles Tottenham,Conservative
Newry,Peter Quinn,Conservative
Portarlington,Lionel Dawson-Damer,Conservative
Queen's County,Michael Dunne,Liberal
Queen's County,Col Francis Plunkett Dunne,Conservative
Roscommon,Col Fitzstephen French,Liberal
Roscommon,Capt Thomas Wiliam Goff,Conservative
Sligo,Rt Hon. John Arthur Wynne,Conservative
County Sligo,"Sir Robert Gore-Booth, Bt",Conservative
County Sligo,Edward Joshua Cooper,Conservative
Tipperary,Daniel O'Donoghue (The O'Donoghue),Independent Opposition
Tipperary,Laurence Waldron,Liberal
Tralee,Daniel O'Connell,Liberal
Tyrone,Hon. Henry Lowry-Corry,Conservative
Tyrone,Lord Claud Hamilton,Conservative
Waterford City,John Aloysius Blake,Independent Opposition
Waterford City,Michael Dobbyn Hassard,Conservative
County Waterford,Hon Walter Cecil Talbot,Conservative
County Waterford,"Sir John Esmonde, Bt",Liberal
Westmeath,William Pollard Urquhart,Liberal
Westmeath,"Sir Richard Levinge, Bt",Liberal
Wexford,John Edward Redmond,Liberal
County Wexford,Patrick McMahon,Liberal
County Wexford,"John George, QC",Conservative
Wicklow,Rt Hon Lord Proby (Granville Leveson Proby),Liberal
Wicklow,William Wentworth-Fitzpatrick-Hume,Conservative
Youghal,"Isaac Butt, QC",Liberal
