Constituency,MP,Party
Antrim,Hon. Edward O'Neill,Conservative
Antrim,George Henry Seymour,Conservative
Armagh,John Vance,Conservative
Armagh County,"Sir James Stronge, Bt",Conservative
Armagh County,William Verner,Conservative
Athlone,John Ennis,Liberal
Bandon,William Shaw,Liberal
Belfast,William Johnston,Conservative
Belfast,Thomas McClure,Liberal
Carlow,William Addis Fagan,Liberal
Carlow County,Henry Bruen,Conservative
Carlow County,Arthur MacMorrough Kavanagh,Conservative
Carrickfergus,Marriott Dalway,Liberal
Cashel[7],James Lyster O'Beirne,Liberal
Cavan,Hon. Hugh Annesley,Conservative
Cavan,Edward James Saunderson,Liberal
Clare,Crofton Moore Vandeleur,Conservative
Clare,"Sir Colman O'Loghlen, Bt",Liberal
Clonmel,John Bagwell,Liberal
Coleraine,"Sir Henry Bruce, Bt",Conservative
Cork,Nicholas Daniel Murphy,Liberal
Cork,John Francis Maguire,Liberal
County Cork,Arthur Smith-Barry,Conservative
County Cork,McCarthy Downing,Liberal
Donegal,Thomas Conolly,Conservative
Donegal,Marquis of Hamilton,Conservative
Down,Lord Edwin Hill-Trevor,Conservative
Down,William Brownlow Forde,Conservative
Downpatrick,William Keown,Conservative
Drogheda[8],Benjamin Whitworth,Liberal
Dublin[9],Jonathan Pim,Liberal
Dublin[9],"Sir Arthur Guinness, Bt",Conservative
Dublin County,Thomas Edward Taylor,Conservative
Dublin County,Ion Hamilton,Conservative
Dublin University,Anthony Lefroy,Conservative
Dublin University,John Thomas Ball,Conservative
Dundalk,Philip Callan,Liberal
Dungannon,William Stuart Knox,Conservative
Dungarvon,Henry Matthews,Liberal
Ennis,William Stacpoole,Liberal
Enniskillen,Viscount Crichton,Conservative
Fermanagh,Mervyn Edward Archdall,Conservative
Fermanagh,Hon. Henry Cole,Conservative
Galway Borough,"Sir Rowland Blennerhassett, Bt",Liberal
Galway Borough,Viscount St Lawrence,Liberal
Galway County,William Henry Gregory,Liberal
Galway County,Viscount Bourke,Liberal
Kerry,Viscount Castlerosse,Liberal
Kerry,Henry Arthur Herbert,Liberal
Kildare,William Henry Ford Cogan,Liberal
Kildare,Lord Otho FitzGerald,Liberal
Kilkenny City,Sir John Gray,Liberal
County Kilkenny,Leopold Agar-Ellis,Liberal
County Kilkenny,George Leopold Bryan,Liberal
King's County,"Sir Patrick O'Brien, Bt",Liberal
King's County,David Sherlock,Liberal
Kinsale,"Sir George Colthurst, Bt",Liberal
Leitrim,John Brady,Liberal
Leitrim,William Ormsby-Gore,Conservative
Limerick City,Francis William Russell,Liberal
Limerick City,George Gavin,Liberal
Limerick County,William Monsell,Liberal
Limerick County,Edward Synan,Liberal
Londonderry,Richard Dowse,Liberal
Londonderry County,Robert Peel Dawson,Conservative
Londonderry County,"Sir Frederic Heygate, Bt",Conservative
Longford,Fulke Greville-Nugent,Liberal
Longford,Myles O'Reilly,Liberal
Louth County,Chichester Fortescue,Liberal
Louth County,Matthew O'Reilly Dease,Liberal
Mallow,Edward Sullivan,Liberal
Mayo,Lord Bingham,Conservative
Mayo,George Henry Moore,Liberal
Meath,Matthew Elias Corbally,Liberal
Meath,Edward McEvoy,Liberal
New Ross,Patrick McMahon,Liberal
Newry,William Kirk,Liberal
Portarlington,Lionel Dawson-Damer,Conservative
Queen's County,John FitzPatrick,Liberal
Queen's County,Kenelm Thomas Digby,Liberal
Roscommon,Fitzstephen French,Liberal
Roscommon,Charles Owen O'Conor,Liberal
Sligo[13],Lawrence E. Knox,Conservative
Sligo County,"Sir Robert Gore-Booth, Bt",Conservative
Sligo County,Denis Maurice O'Conor,Liberal
Tipperary,Charles Moore,Liberal
Tipperary,Charles William White,Liberal
Tralee,Daniel O'Donoghue,Liberal
Tyrone,Hon. Henry Lowry-Corry,Conservative
(Two members),Lord Claud Hamilton,Conservative
Waterford City,John Aloysius Blake,Liberal
Waterford City,James Delahunty,Liberal
Waterford County,"Sir John Esmonde, Bt",Liberal
Waterford County,Edmond de la Poer,Liberal
Westmeath,William Pollard-Urquhart,Liberal
Westmeath,Algernon Greville,Liberal
Wexford Borough[17],Richard Joseph Devereux,Liberal
Wexford County,John Power,Liberal
Wexford County,Matthew Peter D'Arcy,Liberal
Wicklow,William Wentworth Fitzwilliam Dick,Conservative
Wicklow,William Henry Wentworth-Fitzwilliam,Liberal
Youghal[18],Christopher Weguelin,Liberal
