Constituency,MP,Party
Antrim,Edward O'Neill,Conservative
Antrim,Rear Admiral George Henry Seymour,Conservative
Armagh,"Stearne Ball Miller, QC",Conservative
County Armagh,"Sir William Verner, Bt",Conservative
County Armagh,"Col Sir James Matthew Stronge, bt",Conservative
Athlone,Denis Joseph Rearden,Liberal
Bandon,Col Hon Henry Boyle Bernard,Conservative
Belfast,Samuel Gibson Getty,Conservative
Belfast,"Sir Hugh McCalmont Cairns, QC",Conservative
Carlow,Thomas Obborne Stock,Liberal
County Carlow,Denis William Pack Beresford,Conservative
County Carlow,Henry Bruen,Conservative
Carrickfergus,Robert Torrens,Conservative
Cashel,James Lyster O'Beirne,Liberal
Cavan,Capt Edward James Saunderson,Liberal
Cavan,Hon. Hugh Annesley,Conservative
Clare,Col. Crofton Moore Vandeleur,Conservative
Clare,"Sir Colman Michael O'Loghlen, bt",Liberal
Clonmel,John Bagwell,Liberal
Coleraine,"Sir Henry Hervey Bruce, bt",Conservative
Cork City,John Francis Maguire,Liberal
Cork City,Nicholas Daniel Murphy,Liberal
County Cork,George Richard Barry,Liberal
County Cork,Nicholas Philpot Leader,Conservative
Donegal,Viscount Hamilton (James Hamilton),Conservative
Donegal,Thomas Conolly,Conservative
Down,Lord Edwin Hill,Conservative
Down,Lt Col William Brownlow Forde,Conservative
Downpatrick,David Stewart Ker,Conservative
Drogheda,Benjamin Whitworth,Liberal
Dublin,"Sir Benjamin Lee Guinness, bt",Conservative
Dublin,Jonathan Pim,Liberal
County Dublin,Ion Trant Hamilton,Conservative
County Dublin,Lt Col Thomas Edward Taylor,Conservative
Dublin University,"Rt Hon James Whiteside, QC",Conservative
Dublin University,Anthony Lefroy,Conservative
Dundalk,George Bowyer,Liberal
Dungannon,Maj Hon William Stuart Knox,Conservative
Dungarvan,"Cahrles Robert Barry, QC",Liberal
Ennis,William Stacpoole,Liberal
Enniskillen,Hon John Lowry Cole,Conservative
Fermanagh,Mervyn Edward Archdall,Conservative
Fermanagh,Henry Cole,Conservative
Galway Borough,"Michael Morris, QC",Liberal
Galway Borough,"Sir Rowland Blennerhassett, bt",Liberal
County Galway,Lord Dunkelin (ulick Canning de Burgh),Liberal
County Galway,William Henry Gregory,Liberal
Kerry,Henry Arthur Herbert,Liberal
Kerry,Valentine Augustus Browne (Viscount Castlerose),Liberal
Kildare,William Henry Ford Cogan,Liberal
Kildare,Lord Otho Augustus Fitzgerald,Liberal
Kilkenny City,Sir John Gray,Liberal
County Kilkenny,George Leopold Bryan,Liberal
County Kilkenny,Hon. Leopold Agar-Ellis,Liberal
King's County,Patrick O'Brien,Liberal
King's County,John Gilbert King,Conservative
Kinsale,"Sir George Conway Colhurst, bt",Liberal
Leitrim,William Richard Ormsby Gore,Conservative
Leitrim,John Brady,Independent Opposition
Limerick City,Francis William Russell,Liberal
Limerick City,Maj George Gavin,Liberal
County Limerick,Rt Hon William Monsell,Liberal
County Limerick,Edward John Synan,Liberal
Lisburn,Edward Wingfield Verner,Conservative
Londonderry,Lord Claud John Hamilton,Liberal
County Londonderry,Robert Peel Dawson,Conservative
County Londonderry,"Sir Frederick William Heygate, bt",Conservative
County Longford,Col. Fulke Soutwell  Greville-Nugent,Liberal
County Longford,Maj Myles William O'Reilly,Liberal
County Louth,Chichester Fortescue,Liberal
County Louth,Tristram Kennedy,Liberal
Mallow,"Edward Sullivan, QC",Conservative
Mayo,Lord John Thomas Browne,Liberal
Mayo,Lord Bingham (George Bingam),Conservative
Meath,Matthew Corbally,Liberal
Meath,Edward McEvoy,Liberal
Monaghan,Col Charles Powell Leslie,Conservative
Monaghan,"Sir George Forster, bt",Conservative
New Ross,Lt Col Charles Tottenham,Conservative
Newry,Arthur Chrales Innes,Conservative
Portarlington,"Rt Hon James Anthony Lawson, QC, LLd",Liberal
Queen's County,Rt Hon John Wilson Fitzpatrick,Liberal
Queen's County,Col Francis Plunkett Dunne,Conservative
Roscommon,Col Fitzstephen French,Liberal
Roscommon,The O'Connor Don (Charles Owen O'Connor),Liberal
Sligo,Richard Armstrong,Liberal
County Sligo,"Sir Robert Gore-Booth, Bt",Conservative
County Sligo,Edward Joshua Cooper,Conservative
Tipperary,Charles Moore,Liberal
Tipperary,John Blake Dillon,Liberal
Tralee,Daniel O'Donoghue (The O'Donoghue),Liberal
Tyrone,Hon. Henry Lowry-Corry,Conservative
Tyrone,Lord Claud Hamilton,Conservative
Waterford City,John Aloysius Blake,liberal
Waterford City,"Sir Henry Winston Barron, bt",Liberal
County Waterford,Earl of Tyrone (John Henry de la Poer Beresford),Conservative
County Waterford,"Sir John Esmonde, Bt",Liberal
Westmeath,William Pollard Urquhart,Liberal
Westmeath,Capt Hon William Fulke Greville,Liberal
Wexford,Richard Joseph Devereux,Liberal
County Wexford,"Sir James Power, bt",Liberal
County Wexford,"John George, QC",Conservative
Wicklow,Rt Hon Lord Proby (Granville Leveson Proby),Liberal
Wicklow,William Wentworth Fitzwilliam Dick,Conservative
Youghal,Joseph Neale McKenna,Liberal
