Constituency,MP,Party
"Antrim, East",James Martin McCalmont,Irish Unionist
"Antrim, Mid",Robert O'Neill,Irish Unionist
"Antrim, North",Charles Connor,Irish Unionist
"Antrim, South",William Ellison-Macartney,Irish Unionist
"Armagh, Mid",Dunbar Barton,Irish Unionist
"Armagh, North",Edward James Saunderson,Irish Unionist
Armagh South,Edward McHugh,Irish National Federation
Belfast East,Gustav Wilhelm Wolff,Irish Unionist
Belfast North,"Sir Edward Harland, Bt",Irish Unionist
Belfast South,William Johnston,Irish Unionist
Belfast West,H. O. Arnold-Forster,Liberal Unionist
Birr,Bernard Charles Molloy,Irish National Federation
County Carlow,John Hammond,Irish National Federation
Cavan East,Samuel Young,Irish National Federation
Cavan West,Edmund Francis Vesey Knox,Irish National Federation
Clare East,Willie Redmond,Irish National League
Clare West,James Rochfort Maguire,Irish National League
Cork City,William O'Brien,Irish National Federation
Cork City,Maurice Healy,Irish National Federation
County Cork East,Anthony John Charles Donelan,Irish National Federation
County Cork Mid,Charles Kearns Deane Tanner,Irish National Federation
County Cork North,James Christopher Flynn,Irish National Federation
County Cork North East,William O'Brien,Irish National Federation
County Cork South,Edward Barry,Irish National Federation
County Cork South East,John Morrogh,Irish National Federation
County Cork West,James Gilhooly,Irish National Federation
Donegal East,Arthur O'Connor,Irish National Federation
Donegal North,John Mains,Irish National Federation
Donegal South,J. G. Swift MacNeill,Irish National Federation
Donegal West,Timothy Daniel Sullivan,Irish National Federation
Down East,James Alexander Rentoul,Irish Unionist
Down North,Thomas Waring,Irish Unionist
Down South,Michael McCartan,Irish National Federation
Down West,Lord Arthur Hill,Irish Unionist
Dublin County North,J. J. Clancy,Irish National League
Dublin County South,Hon. Horace Plunkett,Irish Unionist
Dublin College Green,J. E. Kenny,Irish National League
Dublin Harbour,Timothy Harrington,Irish National League
Dublin St Patrick's,William Field,Irish National League
Dublin St Stephen's Green,William Kenny,Liberal Unionist
Dublin University,Edward Carson,Conservative
Dublin University,Hon. David Plunket,Conservative
Fermanagh North,Richard Martin Dane,Irish Unionist
Fermanagh South,Patrick McGilligan,Irish National Federation
Galway Borough,John Pinkerton,Irish National Federation
Galway Connemara,Patrick James Foley,Irish National Federation
County Galway East,John Roche,Irish National Federation
County Galway North,John Philip Nolan,Irish National League
County Galway South,David Sheehy,Irish National Federation
Kerry East,Jeremiah Daniel Sheehan,Irish National Federation
Kerry North,Thomas Sexton,Irish National Federation
Kerry South,Denis Kilbride,Irish National Federation
Kerry West,"Sir Thomas Esmonde, Bt",Irish National Federation
Kildare North,Patrick James Kennedy,Irish National Federation
Kildare South,Matthew Joseph Minch,Irish National Federation
Kilkenny City,Thomas Bartholomew Curran,Irish National Federation
County Kilkenny North,Patrick McDermott,Irish National Federation
County Kilkenny South,Patrick Alexander Chance,Irish National Federation
Leitrim North,Patrick Aloysius McHugh,Irish National Federation
Leitrim South,Jasper Tully,Irish National Federation
Leix,Mark Antony MacDonnell,Irish National Federation
Limerick City,Francis Arthur O'Keefe,Irish National Federation
County Limerick East,John Finucane,Irish National Federation
County Limerick West,Michael Austin,Irish National Federation
Londonderry City,John Ross,Irish Unionist
Londonderry North,Henry Lyle Mulholland,Irish Unionist
Londonderry South,Thomas Lea,Liberal Unionist
Longford North,Justin McCarthy,Irish National Federation
Longford South,Edward Blake,Irish National Federation
Louth North,Timothy Michael Healy,Irish National Federation
Louth South,Daniel Ambrose,Irish National Federation
Mayo East,John Dillon,Irish National Federation
Mayo North,Daniel Crilly,Irish National Federation
Mayo South,J. F. X. O'Brien,Irish National Federation
Mayo West,John Deasy,Irish National Federation
Meath North,Michael Davitt,Irish National Federation
Meath South,Patrick Fulham,Irish National Federation
Monaghan North,Charles Diamond,Irish National Federation
Monaghan South,Florence O'Driscoll,Irish National Federation
Newry,Patrick George Hamilton Carvill,Irish National Federation
Ossory,Eugene Crean,Irish National Federation
Roscommon North,Matthias McDonnell Bodkin,Irish National Federation
Roscommon South,Luke Hayden,Irish National League
Sligo North,Bernard Collery,Irish National Federation
Sligo South,Thomas Curran,Irish National Federation
Tipperary East,Thomas Joseph Condon,Irish National Federation
Tipperary Mid,John McCarthy,Irish National Federation
Tipperary North,Patrick Joseph O'Brien,Irish National Federation
Tipperary South,Francis Mandeville,Irish National Federation
Tullamore,Joseph Francis Fox,Irish National Federation
Tyrone East,William James Reynolds,Irish National Federation
Tyrone Mid,Matthew Joseph Kenny,Irish National Federation
Tyrone North,Lord Frederick Spencer Hamilton,Irish Unionist
Tyrone South,Thomas Wallace Russell,Liberal Unionist
Waterford City,John Redmond,Irish National League
County Waterford East,Patrick Joseph Power,Irish National Federation
County Waterford West,Alfred John Webb,Irish National Federation
Westmeath North,James Tuite,Irish National Federation
Westmeath South,Donal Sullivan,Irish National Federation
Wexford North,Thomas Joseph Healy,Irish National Federation
Wexford South,John Barry,Irish National Federation
Wicklow East,John Sweetman,Irish National Federation
Wicklow West,James O'Connor,Irish National Federation
