Constituency,MP,Party
Antrim East,James Martin McCalmont,Conservative
Antrim Mid,Hon. Robert Torrens O'Neill,Conservative
Antrim North,Edward Macnaghten,Conservative
Antrim South,William Ellison-Macartney,Conservative
Armagh Mid,John McKane,Conservative
Armagh North,Edward James Saunderson,Conservative
Armagh South,Alexander Blaine,Irish Parliamentary
Belfast East,Edward de Cobain,Indep Conservative
Belfast North,William Ewart,Conservative
Belfast South,William Johnston,Indep Conservative
Belfast West,James Horner Haslett,Conservative
County Carlow,Edmund Dwyer Gray,Irish Parliamentary
Cavan East,Thomas O'Hanlon,Irish Parliamentary
Cavan West,Joseph Biggar,Irish Parliamentary
Clare East,Joseph Cox,Irish Parliamentary
Clare West,Jeremiah Jordan,Irish Parliamentary
Cork City,Charles Stewart Parnell,Irish Parliamentary
Cork City,Maurice Healy,Irish Parliamentary
County Cork East,William John Lane,Irish Parliamentary
County Cork Mid,Charles Kearns Deane Tanner,Irish Parliamentary
County Cork North,James Christopher Flynn,Irish Parliamentary
County Cork North East,Edmund Leamy,Irish Parliamentary
County Cork South,J. E. Kenny,Irish Parliamentary
County Cork South East,John Hooper,Irish Parliamentary
County Cork West,James Gilhooly,Irish Parliamentary
Donegal East,Arthur O'Connor,Irish Parliamentary
Donegal North,James Edward O'Doherty,Irish Parliamentary
Donegal South,Bernard Kelly,Irish Parliamentary
Donegal West,Patrick O'Hea,Irish Parliamentary
Down East,Richard William Blackwood Ker,Conservative
Down North,Thomas Waring,Conservative
Down South,John Francis Small,Irish Parliamentary
Down West,Lord Arthur Hill,Conservative
Dublin County North,J. J. Clancy,Irish Parliamentary
Dublin County South,"Sir Thomas Esmonde, Bt",Irish Parliamentary
Dublin College Green,Timothy Daniel Sullivan,Irish Parliamentary
Dublin Harbour,Timothy Harrington,Irish Parliamentary
Dublin St Patrick's,William Martin Murphy,Irish Parliamentary
Dublin St Stephen's Green,Edmund Dwyer Gray,Irish Parliamentary
Dublin University,Hugh Holmes,Conservative
Dublin University,Hon. David Plunket,Conservative
Fermanagh North,Willie Redmond,Irish Parliamentary
Fermanagh South,Henry Campbell,Irish Parliamentary
Galway Borough,T. P. O'Connor,Irish Parliamentary
Galway Connemara,Patrick James Foley,Irish Parliamentary
Galway East,Matthew Harris,Irish Parliamentary
Galway North,John Philip Nolan,Irish Parliamentary
Galway South,David Sheehy,Irish Parliamentary
Kerry East,Jeremiah Daniel Sheehan,Irish Parliamentary
Kerry North,John Stack,Irish Parliamentary
Kerry South,John O'Connor,Irish Parliamentary
Kerry West,Edward Harrington,Irish Parliamentary
Kildare North,James Laurence Carew,Irish Parliamentary
Kildare South,James Leahy,Irish Parliamentary
Kilkenny City,John Francis Smithwick,Irish Parliamentary
County Kilkenny North,Edward Marum,Irish Parliamentary
County Kilkenny South,Patrick Alexander Chance,Irish Parliamentary
Leitrim North,Michael Conway,Irish Parliamentary
Leitrim South,Luke Hayden,Irish Parliamentary
Leix,Richard Lalor,Irish Parliamentary
Limerick City,Henry Joseph Gill,Irish Parliamentary
County Limerick East,John Finucane,Irish Parliamentary
County Limerick West,William Abraham,Irish Parliamentary
Londonderry City,Charles Edward Lewis,Conservative
Londonderry North,Henry Mulholland,Conservative
Londonderry South,T. M. Healy,Irish Parliamentary
Longford North,Justin McCarthy,Irish Parliamentary
Longford South,Laurence Connolly,Irish Parliamentary
Louth North,Joseph Nolan,Irish Parliamentary
Louth South,Thomas Patrick Gill,Irish Parliamentary
Mayo East,John Dillon,Irish Parliamentary
Mayo North,Daniel Crilly,Irish Parliamentary
Mayo South,J. F. X. O'Brien,Irish Parliamentary
Mayo West,John Deasy,Irish Parliamentary
Meath North,Kevin Izod O'Doherty,Irish Parliamentary
Meath South,Edward Sheil,Irish Parliamentary
Monaghan North,Timothy Michael Healy,Irish Parliamentary
Monaghan South,Sir Joseph Neale McKenna,Irish Parliamentary
Newry,Justin Huntly McCarthy,Irish Parliamentary
Roscommon North,James Joseph O'Kelly,Irish Parliamentary
Roscommon South,Andrew Commins,Irish Parliamentary
Sligo North,Peter McDonald,Irish Parliamentary
Sligo South,Thomas Sexton,Irish Parliamentary
Tipperary East,Thomas Joseph Condon,Irish Parliamentary
Tipperary Mid,Thomas Mayne,Irish Parliamentary
Tipperary North,Patrick Joseph O'Brien,Irish Parliamentary
Tipperary South,John O'Connor,Irish Parliamentary
Tullamore,Joseph Francis Fox,Irish Parliamentary
Tyrone East,William James Reynolds,Irish Parliamentary
Tyrone Mid,Matthew Joseph Kenny,Irish Parliamentary
Tyrone North,Lord Ernest Hamilton,Conservative
Tyrone South,William O'Brien,Irish Parliamentary
Waterford City,Richard Power,Irish Parliamentary
County Waterford East,Patrick Joseph Power,Irish Parliamentary
County Waterford West,Jasper Douglas Pyne,Irish Parliamentary
Westmeath North,James Tuite,Irish Parliamentary
Westmeath South,Donal Sullivan,Irish Parliamentary
Wexford North,John Redmond,Irish Parliamentary
Wexford South,John Barry,Irish parliamentary
Wicklow East,William Joseph Corbet,Irish Parliamentary Party
Wicklow West,Garrett Michael Byrne,Irish Parliamentary Party
