Constituency,MP,Party
Antrim,George Macartney,
Antrim,Thomas Henry Pakenham,
Armagh,Stearne Ball Miller,
County Armagh,"Sir William Verner, Bt",
County Armagh,Maxwell Charles Close,
Athlone,John Ennis,
Bandon,William Smyth Bernard,
Belfast,Richard Davison,
Belfast,Hugh Cairns,
Carlow,John Alexander,
County Carlow,William McClintock-Bunbury,
County Carlow,Henry Bruen,
Carrickfergus,William Cary Dobbs,
Cashel,"Sir Timothy O'Brien, Bt",
Cavan,Hon. James Maxwell,
Cavan,Hon. Hugh Annesley,
Clare,Lord Francis Conyngham,
Clare,Francis Macnamara Calcutt,
Clonmel,John Bagwell,
Coleraine,John Boyd,
Cork City,William Trant Fagan,
Cork City,Francis Bernard Beamish,
County Cork,Rickard Deasy,
County Cork,Alexander McCarthy,
Donegal,"Sir Edmund Hayes, Bt",
Donegal,Thomas Conolly,
Down,Lord Edwin Hill,
Down,William Brownlow Forde,
Downpatrick,Richard Ker,
Drogheda,James McCann,
Dublin,Edward Grogan,
Dublin,John Vance,
County Dublin,James Hans Hamilton,
County Dublin,Thomas Edward Taylor,
Dublin University,George Alexander Hamilton,
Dublin University,Joseph Napier,
Dundalk,George Bowyer,
Dundee,"Sir John Ogilvy, Bt",
Dungannon,William Stuart Knox,
Dungarvan,John Francis Maguire,
Ennis,John FitzGerald,
Enniskillen,James Whiteside,
Fermanagh,Mervyn Edward Archdall,
Fermanagh,Henry Cole,
Galway Borough,Anthony O'Flaherty[3],
Galway Borough,Lord Dunkellin,
County Galway,"Sir Thomas Burke, 3rd Bt",
County Galway,William Henry Gregory,
Kerry,Henry Arthur Herbert,
Kerry,Valentine Browne,
Kildare,William Henry Ford Cogan,
Kildare,David O'Connor Henchy,
Kilkenny City,Michael Sullivan,
County Kilkenny,John Greene,
County Kilkenny,Hon. Leopold Agar-Ellis,
King's County,Patrick O'Brien,
King's County,Loftus Henry Bland,
Kinsale,John Isaac Heard,
Leitrim,Hugh Lyons Montgomery,
Leitrim,John Brady,
Limerick City,Francis William Russell,
Limerick City,James O'Brien,
County Limerick,William Monsell,
County Limerick,Stephen de Vere,
Lisburn,Jonathan Richardson,
Londonderry,"Sir Robert Ferguson, Bt",
County Londonderry,James Johnston Clark,
County Londonderry,Samuel Macurdy Greer,
County Longford,Fulke Greville-Nugent,
County Longford,Henry White,
County Louth,Chichester Fortescue,
County Louth,John McClintock,
Mallow,"Sir Charles Jephson-Norreys, Bt",
Mayo,George Henry Moore[6],
Mayo,Roger Palmer,
Meath,Matthew Corbally,Independent Irish
Meath,Edward McEvoy,Independent Irish
New Ross,Charles Tottenham,
Newry,William Kirk,
Portarlington,Lionel Dawson-Damer,
Queen's County,Michael Dunne,
Queen's County,"Sir Charles Coote, Bt",
Roscommon,Fitzstephen French,
Roscommon,Oliver Dowell John Grace,
Sligo,John Patrick Somers[9],
County Sligo,"Sir Robert Gore-Booth, Bt",
County Sligo,Edward Joshua Cooper,
Tipperary,Daniel O'Donoghue,
Tipperary,Laurence Waldron,
Tralee,Daniel O'Connell,
Tyrone,Hon. Henry Lowry-Corry,
Tyrone,Lord Claud Hamilton,
Waterford City,John Aloysius Blake,
Waterford City,Michael Dobbyn Hassard,
County Waterford,Nicholas Mahon Power,
County Waterford,"Sir John Esmonde, Bt",
Westmeath,William Henry Magan,
Westmeath,"Sir Richard Levinge, Bt",
Wexford,John Thomas Devereux,
County Wexford,Patrick McMahon,
County Wexford,John Hatchell,
Wicklow,Viscount Milton,
Wicklow,William Wentworth-FitzWilliam-Hume,
Youghal,Isaac Butt,
