Constituency,MP,Party
Antrim,Hon. Edward O'Neill,Conservative
Antrim,James Chaine,Conservative
Armagh,John Vance,Conservative
Armagh County,Edward Wingfield Verner,Conservative
Armagh County,Maxwell Charles Close,Conservative
Athlone,Edward Sheil,Home Rule League
Belfast,William Johnston,Conservative
Belfast,James Porter Corry,Conservative
Carlow,Henry Owen Lewis,Home Rule League
Carlow County,Henry Bruen,Conservative
Carlow County,Arthur MacMurrough Kavanagh,Conservative
Carrickfergus,Marriott Robert Dalway,Liberal
Cavan,Charles Joseph Fay,Home Rule League
Cavan,Joseph Biggar,Home Rule League
Clare,"Sir Colman O'Loghlen, Bt",Home Rule League
Clare,Lord Francis Conyngham,Home Rule League
Clonmel,Arthur John Moore,Home Rule League
Coleraine,Daniel Taylor,Liberal
Cork,Nicholas Daniel Murphy,Home Rule League
Cork,Joseph Philip Ronayne,Home Rule League
County Cork,McCarthy Downing,Liberal
County Cork,William Shaw,Home Rule League
Donegal,Thomas Conolly,Conservative
Donegal,Viscount Hamilton,Conservative
Down,Lord Edwin Hill-Trevor,Conservative
Down,James Sharman Crawford,Liberal
Downpatrick,John Mulholland,Conservative
Drogheda,William Hagarty O'Leary,Home Rule League
Dublin,"Sir Arthur Guinness, Bt",Conservative
Dublin,Maurice Brooks,Home Rule League
Dublin County,Thomas Edward Taylor,Conservative
Dublin County,Ion Hamilton,Conservative
Dublin University,John Thomas Ball,Conservative
Dublin University,Hon. David Plunket,Conservative
Dundalk,Philip Callan,Home Rule League
Dungannon,Thomas Alexander Dickson,Liberal
Dungarvon,John O'Keeffe,Home Rule League
Ennis,William Stacpoole,Home Rule League
Enniskillen,Viscount Crichton,Conservative
Fermanagh,Hon. Henry Cole,Conservative
Fermanagh,William Humphrys Archdall,Conservative
Galway Borough,Frank Hugh O'Donnell,Home Rule League
Galway Borough,George Morris,Liberal
Galway County,Mitchell Henry,Home Rule League
Galway County,John Philip Nolan,Home Rule League
Kerry,Henry Arthur Herbert,Liberal
Kerry,Rowland Ponsonby Blennerhassett,Home Rule League
Kildare,William Henry Ford Cogan,Liberal
Kildare,Charles Henry Meldon,Home Rule League
Kilkenny City,Sir John Gray,Home Rule League
County Kilkenny,George Leopold Bryan,Liberal
County Kilkenny,Patrick Martin,Home Rule League
King's County,"Sir Patrick O'Brien, Bt",Home Rule League
King's County,David Sherlock,Liberal
Kinsale,Eugene Collins,Home Rule League
Leitrim,John Brady,Liberal
Leitrim,William Ormsby-Gore,Conservative
Limerick City,Isaac Butt,Home Rule League
Limerick City,Richard O'Shaughnessy,Home Rule League
Limerick County,Edward John Synan,Home Rule League
Limerick County,William Henry O'Sullivan,Home Rule League
Londonderry,Charles Edward Lewis,Conservative
Londonderry County,Richard Smyth,Liberal
Londonderry County,Hugh Law,Liberal
Longford,Myles William O'Reilly,Home Rule League
Longford,George Errington,Home Rule League
Louth County,Alexander Martin Sullivan,Home Rule League
Louth County,Philip Callan,Home Rule League
Mallow,John George MacCarthy,Home Rule League
Mayo,George Ekins Browne,Home Rule League
Mayo,Thomas Tighe,Home Rule League
Meath,John Martin,Home Rule League
Meath,Nicholas Ennis,Home Rule League
Monaghan,Sewallis Shirley,Conservative
Monaghan,John Leslie,Conservative
New Ross,John Dunbar,Home Rule League
Newry,William Whitworth,Liberal
Portarlington,Lionel Dawson-Damer,Conservative
Queen's County,Kenelm Thomas Digby,Home Rule League
Queen's County,Edmund Dease,Liberal
Roscommon,Charles Owen O'Conor,Home Rule League
Roscommon,Charles French,Liberal
Sligo County,Sir Robert Gore-Booth,Conservative
Sligo County,Denis Maurice O'Conor,Home Rule League
Tipperary,Charles William White,Home Rule League
Tipperary,William Frederick Ormond O'Callaghan,Home Rule League
Tralee,Daniel O'Donoghue,Home Rule League
Tyrone,Hon. Henry Lowry-Corry,Conservative
Tyrone,John William Ellison-Macartney,Conservative
Waterford City,Richard Power,Home Rule League
Waterford City,Purcell O'Gorman,Home Rule League
Waterford County,"Sir John Esmonde, Bt",Home Rule League
Waterford County,Lord Charles Beresford,Conservative
Westmeath,Patrick James Smyth,Home Rule League
Westmeath,Lord Robert Montagu,Conservative
Wexford Borough,William Redmond,Home Rule League
Wexford County,"Sir George Bowyer, Bt",Liberal
Wexford County,Keyes O'Clery,Home Rule League
Wicklow,William Wentworth Fitzwilliam Dick,Conservative
Wicklow,William Richard O'Byrne,Home Rule League
Youghal,Sir Joseph Neale McKenna,Home Rule League
